score_name,top20_overlap,top30_overlap,top50_overlap,top100_overlap,known_mean_percentile,known_median_percentile,top1,description,path
itext_all,3,8,14,19,0.8490598193489746,0.9110378912685337,L31H4,Mean intervention text-slice attention over all generated steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_itext_all.json
Fusion_halltext50_logC30_imgdrop20,5,8,11,15,0.8014542975629154,0.8632619439868204,L29H10,Rank fusion: hallucinated-step text reliance + log text-over-image contrast + image drop.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Fusion_halltext50_logC30_imgdrop20.json
Fusion_text40_absC30_relC30,6,8,11,16,0.7771970686814748,0.8698517298187809,L14H16,"Rank fusion balancing global text reliance, absolute text contrast, and relative text contrast.",LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Fusion_text40_absC30_relC30.json
text_all,5,7,14,18,0.8528091802533658,0.914332784184514,L31H27,Mean generated-text-prefix attention over all generated steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_text_all.json
Specific_text_delta_x_hall,5,6,10,16,0.7061864454922456,0.8533772652388798,L14H16,Absolute text contrast gated by hallucinated-step text strength.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Specific_text_delta_x_hall.json
text_hall,3,6,8,16,0.8280406748849628,0.8896210873146623,L31H27,Mean generated-text-prefix attention on hallucinated object steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_text_hall.json
Fusion_text70_ratioC30,4,5,10,19,0.8434357779923877,0.8780889621087314,L26H14,"Rank fusion: 70% global text-prefix reliance, 30% hallucination contrast in T/(T+I).",LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Fusion_text70_ratioC30.json
Specific_logtoi_delta_x_hall,5,5,9,14,0.6825541100948702,0.8088962108731466,L31H27,Absolute log text-over-image contrast gated by hallucinated-step strength.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Specific_logtoi_delta_x_hall.json
Specific_text_threefactor,4,5,9,13,0.6726694313469296,0.7924217462932455,L13H19,Text mass three-factor score: delta * relative contrast * hall strength.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Specific_text_threefactor.json
C_text_hall_minus_nonhall,4,5,8,13,0.6754530477759473,0.7957166392092256,L14H7,Positive hallucinated minus grounded object contrast in text-prefix attention.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_text_hall_minus_nonhall.json
ratio_all,3,5,6,12,0.7336817587911152,0.7940691927512356,L31H27,Mean-level T/(T+I) over all generated steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_ratio_all.json
C_itext_hall_minus_nonhall,3,4,10,13,0.6836902800658978,0.785831960461285,L13H19,Positive hallucinated minus grounded object contrast in intervention text-slice mass.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_itext_hall_minus_nonhall.json
Fusion_text50_ratioC30_imgdrop20,3,4,7,14,0.7894677043685735,0.8352553542009885,L16H17,Rank fusion: text reliance + ratio contrast + image-attention drop.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Fusion_text50_ratioC30_imgdrop20.json
text_object,1,3,9,18,0.8161676986877237,0.8682042833607908,L31H27,Mean generated-text-prefix attention on object steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_text_object.json
C_logtoi_hall_minus_nonhall,3,3,8,11,0.6510822018974038,0.7891268533772653,L21H10,Positive hallucinated minus grounded object contrast in log text-over-image.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_logtoi_hall_minus_nonhall.json
logtoi_hall,2,3,7,15,0.755439413736295,0.8583196046128501,L31H27,"Log text-over-image ratio on hallucinated object steps, from mean masses.",LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_logtoi_hall.json
ratio_hall,2,3,7,15,0.755439413736295,0.8583196046128501,L31H27,Mean-level T/(T+I) on hallucinated object steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_ratio_hall.json
C_image_drop_nonhall_minus_hall,1,2,3,7,0.6141566778390047,0.670510708401977,L17H13,Image-attention drop from grounded to hallucinated object steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_image_drop_nonhall_minus_hall.json
Fusion_ratio_policy,1,2,2,7,0.6105209339317161,0.6474464579901154,L21H10,"Policy-style ratio fusion using hall ratio, absolute ratio contrast, and relative ratio contrast.",LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Fusion_ratio_policy.json
Specific_ratio_delta_x_hall,1,2,2,5,0.48588308810998126,0.500823723228995,L16H30,Absolute ratio contrast gated by hallucinated-step ratio strength.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Specific_ratio_delta_x_hall.json
Hall_text_minus_all,0,1,5,8,0.6849968755325797,0.7726523887973641,L19H0,Hallucinated-token text-prefix excess over all generated steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Hall_text_minus_all.json
RelC_image_drop,0,1,2,7,0.6009771061750837,0.6985172981878089,L21H10,Relative image-attention drop on hallucinated object steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_RelC_image_drop.json
low_image_hall,1,1,2,4,0.43736863034709994,0.4233937397034596,L31H27,Heads that pay little image attention on hallucinated object steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_low_image_hall.json
C_ratio_hall_minus_nonhall,1,1,2,5,0.43486905641083906,0.36902800658978585,L16H30,Positive hallucinated minus grounded object contrast in T/(T+I).,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_C_ratio_hall_minus_nonhall.json
Specific_ratio_threefactor,0,1,2,5,0.4341873544282225,0.36902800658978585,L16H30,Ratio three-factor score: delta * relative contrast * hall strength.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Specific_ratio_threefactor.json
RelC_text_hall_minus_nonhall,1,1,1,4,0.5151962733624951,0.4794069192751236,L30H24,Relative contrast in text-prefix attention: delta/(hall+grounded).,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_RelC_text_hall_minus_nonhall.json
RelC_logtoi_hall_minus_nonhall,0,1,1,4,0.4872464920752145,0.49917627677100496,L16H30,Relative contrast in log text-over-image.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_RelC_logtoi_hall_minus_nonhall.json
RelC_ratio_hall_minus_nonhall,0,0,2,4,0.3986820428336079,0.3163097199341022,L16H30,Relative contrast in T/(T+I): delta/(hall+grounded).,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_RelC_ratio_hall_minus_nonhall.json
Object_text_minus_all,0,0,1,8,0.6916434698630916,0.7495881383855025,L19H0,Object-token text-prefix excess over all generated steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Object_text_minus_all.json
Hall_ratio_minus_all,0,0,1,3,0.47730500482872235,0.46952224052718283,L25H26,Hallucinated-token T/(T+I) excess over all generated steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Hall_ratio_minus_all.json
Object_ratio_minus_all,0,0,0,3,0.6093279554621371,0.6276771004942339,L25H26,Object-token T/(T+I) excess over all generated steps.,LLaVA/results/coco/llava-v1.5-7b_base_original_qa_n3000/surrogate_hh_scores/surrogate_score_zoo/ranked_heads_Object_ratio_minus_all.json
